9874048010,28.6419655,77.2325428
11649060271,28.644954,77.2051598
943560221,28.6282528,77.2044852
6576363392,28.6307963,77.2285738
6576363393,28.6313274,77.2289379
6576363390,28.6301626,77.230948
9874048015,28.6428461,77.2301075
6576363391,28.6306114,77.2312747
9874048016,28.6431197,77.2294161
6576363396,28.6298079,77.2315369
9874048013,28.6426538,77.2306487
9874048014,28.6427528,77.2303623
4333487300,28.6137127,77.2399755
6576363394,28.6318637,77.2293173
9874048011,28.6423656,77.2317589
6576363395,28.6292771,77.2311661
9874048012,28.6425299,77.2311132
6576363389,28.6296288,77.2305659
6985955249,28.6377395,77.2227793
9880296700,28.6468953,77.2357493
6576363387,28.629977,77.2312562
6985955247,28.6385686,77.2228119
6576363388,28.6304543,77.2315785
6985955248,28.6379895,77.2227636
6985955245,28.6386216,77.2220837
6985955246,28.6381072,77.2219998
6985955243,28.6380177,77.2224981
9874048008,28.6421698,77.2323924
6985955244,28.6380389,77.2222218
9874048009,28.6421202,77.2325889
6985955241,28.6386015,77.2222729
11651664786,28.641501,77.2076603
943560217,28.6165392,77.2073379
6985955242,28.6385846,77.2225495
11651664785,28.6412715,77.2078953
6985955240,28.6374021,77.2222188
11651664789,28.6414143,77.2076418
11651664788,28.6413541,77.207629
11651664787,28.6413766,77.2076337
6576363381,28.6277551,77.2349182
6576363382,28.6316472,77.2297643
9880296705,28.646904,77.2349945
6576363380,28.6283232,77.2343321
9880296703,28.6469334,77.2350209
6576363386,28.6294461,77.2308777
9880296704,28.6469411,77.2350314
6576363383,28.629892,77.2301168
9880296701,28.6468855,77.235742
6576363384,28.6304051,77.2305455
9880296702,28.6469041,77.2349825
6576363378,28.6290057,77.2325597
6985955238,28.6377268,77.2224396
6576363379,28.6289589,77.2336866
6985955239,28.6376552,77.2223827
6985955236,28.6377746,77.2226179
6985955237,28.6377698,77.2224948
943560228,28.639283,77.2077869
10264384050,28.619773,77.2127971
10264384052,28.6190498,77.2156395
10264384051,28.6193939,77.2127715
10264384054,28.6190646,77.2152728
10264384053,28.6190811,77.2148617
4333487315,28.6152407,77.238083
10264384056,28.6195092,77.2156731
10264384055,28.619517,77.215297
9843536998,28.6194707,77.2002062
9843536999,28.6215985,77.2006696
9843536996,28.6182923,77.1997435
9843536997,28.6194446,77.2008594
9843536994,28.6189001,77.2008312
9843536995,28.6181333,77.200137
9843536993,28.6188408,77.2016492
9198715786,28.62535,77.2396089
9874048006,28.6420804,77.2324974
11832979222,28.6446234,77.1995376
9874048007,28.6421242,77.2324677
11832979223,28.6447042,77.1995891
9198715788,28.6253215,77.2396125
9874048004,28.6452665,77.2248075
9198715787,28.62537,77.2395949
9874048005,28.6422257,77.2324292
11832979221,28.6448532,77.1997061
9874048002,28.6444864,77.2262025
9198715789,28.6254982,77.2400867
9874048003,28.6445705,77.2261436
10931529099,28.6110024,77.2322644
9874048000,28.6447217,77.2241489
10264384041,28.6208595,77.2140981
9874048001,28.6445414,77.2262665
10264384040,28.6208538,77.2140402
4333487302,28.6138373,77.2379275
10264384043,28.6208565,77.2142827
4333487301,28.6137914,77.2372139
10264384042,28.620852,77.2145642
4333487304,28.6139103,77.236935
6576363398,28.6303082,77.2294065
10264384045,28.6211109,77.2130891
11832979228,28.6470808,77.2025042
6576363399,28.6308395,77.2297982
10264384044,28.6212198,77.2142899
4333487306,28.6147768,77.2370074
10264384047,28.619746,77.2129884
11832979226,28.6470344,77.2025948
4333487305,28.6140516,77.2379542
10264384046,28.6200049,77.2130131
11832979227,28.6472345,77.2026199
560825400,28.6501636,77.2334859
